accent,speaker_label,gender,word,start_time,end_time,vowel_phoneme,class,formant_1,formant_2,formant_3
roi_001,cnf001,F,head,2.395,2.439,EH,2,798.5779,2102.9081,2873.4799
roi_001,cnf001,F,hoed,12.81,12.846,OW,3,605.7303,970.5516,2713.4981
roi_001,hmm001,F,hard,4.18,4.234,AA,1,738.2579,1162.2351,2182.6302
roi_001,hmm001,F,head,2.825,2.862,EH,2,693.8568,1938.2144,2473.9249
roi_001,hmm001,F,hoed,16.173,16.219,OW,3,521.9762,1146.6799,2502.9675
roi_001,aor001,M,hard,4.05,4.11,AA,1,807.4729,1499.2814,2126.866
roi_001,aor001,M,head,3.024,3.089,EH,2,670.6896,1963.4005,2687.9386
roi_001,aor001,M,hoed,12.764,12.841,OW,3,517.1668,1007.3099,2386.5844
roi_001,cpd001,M,hard,6.402,6.465,AA,1,805.9385,1074.2939,2331.2714
roi_001,cpd001,M,head,4.652,4.737,EH,2,670.6894,1713.8903,2610.7797
roi_001,cpd001,M,hoed,18.455,18.514,OW,3,965.9096,2371.1136,3191.3433
roi_001,djd001,M,hard,4.326,4.366,AA,1,795.8387,1380.7064,2476.4065
roi_001,djd001,M,head,2.751,2.795,EH,2,591.1695,1975.401,2719.8116
roi_001,djd001,M,hoed,18.917,18.971,OW,3,483.2788,1020.4242,2620.3196
roi_001,gwd001,M,hard,2.722,2.77,AA,1,676.5606,1480.9256,2294.6147
roi_001,gwd001,M,head,1.684,1.747,EH,2,622.5782,1751.6403,2440.6656
roi_001,gwd001,M,hoed,18.913,18.965,OW,3,812.8513,2381.1195,3573.85
roi_001,ipd001,M,hard,7.164,7.224,AA,1,773.7182,1324.3973,2195.5873
roi_001,ipd001,M,head,4.876,4.928,EH,2,605.1126,1890.1411,2502.44
roi_001,ipd001,M,hoed,23.809,23.856,OW,3,676.0813,2697.2998,3526.463
sse_001,mjo001,F,hard,5.647,5.736,AA,1,965.0375,1204.4091,3360.5268
sse_001,mjo001,F,head,3.551,3.606,EH,2,939.6474,2118.5794,2706.8348
sse_001,mjo001,F,hoed,16.141,16.213,OW,3,840.6986,1785.36,3003.0979
sse_001,njb001,F,hard,5.669,5.731,AA,1,794.4454,1204.729,2745.0401
sse_001,njb001,F,head,3.334,3.409,EH,2,805.4071,1992.2773,2461.2836
sse_001,njb001,F,hoed,18.015,18.063,OW,3,659.3054,1856.8126,2806.0077
sse_001,nta001,F,hard,4.283,4.351,AA,1,774.9468,1183.8554,2648.5256
sse_001,nta001,F,head,3.225,3.278,EH,2,784.4416,2120.3922,3195.2751
sse_001,nta001,F,hoed,21.733,21.795,OW,3,623.3573,1741.225,2624.7128
sse_001,sce001,F,hard,4.136,4.189,AA,1,757.522,1083.2629,3028.3214
sse_001,sce001,F,head,2.763,2.793,EH,2,800.9335,1944.8728,2987.1717
sse_001,sce001,F,hoed,12.974,13.006,OW,3,629.6842,1634.5582,2746.5907
sse_001,wjh001,F,hard,5.408,5.467,AA,1,791.4339,1193.6442,2943.6642
sse_001,wjh001,F,head,2.986,3.052,EH,2,670.3049,2067.4662,2819.8444
sse_001,wjh001,F,hoed,17.482,17.546,OW,3,695.1834,1526.8676,2717.2797
sse_001,ais001,M,hard,4.962,5.01,AA,1,674.663,1050.2505,2700.1657
sse_001,ais001,M,head,3.126,3.151,EH,2,654.0201,1805.5603,2581.2433
sse_001,ais001,M,hoed,18.813,18.849,OW,3,616.4347,1338.4029,2374.0314
sse_001,dme001,M,hard,5.539,5.617,AA,1,710.4,1083.7695,2882.8782
sse_001,dme001,M,head,3.422,3.487,EH,2,575.1372,1810.2384,2658.6996
sse_001,dme001,M,hoed,20.389,20.448,OW,3,599.1361,1425.0634,3187.3472
sse_001,hak001,M,hard,4.934,4.977,AA,1,950.1305,1391.4137,2626.3772
sse_001,hak001,M,head,3.684,3.739,EH,2,715.6076,1797.828,2627.1296
sse_001,hak001,M,hoed,18.857,18.903,OW,3,584.4534,1361.1126,2588.9283
sse_001,jph001,M,hard,6.422,6.491,AA,1,995.2273,10017.1567,2774.5066
sse_001,jph001,M,head,4.123,4.171,EH,2,667.9023,1916.8476,2732.8312
sse_001,jph001,M,hoed,19.874,19.935,OW,3,580.8253,1770.2691,2581.0948
sse_001,kmp001,M,hard,6.087,6.14,AA,1,839.6432,1180.1181,2495.2045
sse_001,kmp001,M,head,4.407,4.454,EH,2,734.2402,2044.0641,2614.2846
sse_001,kmp001,M,hoed,15.783,15.829,OW,3,1243.0446,2133.7322,3557.8532
